316;AL;41.09056;19.62472
317;AL;40.96778;19.68528
318;AL;41.02556;19.72389
319;AL;41.33306;19.57806
320;AL;41.65028;19.62
321;AL;41.47833;19.71778
322;AL;40.5;19.81667
323;AL;40.65583;19.5025
324;AL;40.86722;19.78528
325;AL;40.71667;19.56667
326;AL;40.72389;19.55611
327;AL;41.30556;19.86694
328;AL;41.32306;19.44139
329;AL;40.60056;19.70083
330;AL;40.99667;19.52944
331;AL;40.74556;19.49389
332;AL;42.01;19.62472
333;AL;41.39361;19.91583
334;AL;41.99167;19.41056
335;AL;41.91556;19.60444
336;AL;40.73028;19.79056
337;AL;41.50944;19.84583
338;AL;41.03167;19.97583
339;AL;40.60333;19.62611
340;AL;42.11944;19.89972
341;AL;40.81806;19.64083
342;AL;41.47417;19.65167
343;AL;40.26778;19.66917
344;AL;41.24528;19.90111
345;AL;41.38;19.6875
346;AL;42.01528;19.48167
347;AL;40.70583;19.95222
348;AL;40.975;19.88194
349;AL;41.63194;19.92917
350;AL;40.82472;19.83917
351;AL;40.59889;19.73472
352;AL;40.99528;19.76528
353;AL;41.21389;19.79694
354;AL;40.53639;19.59611
355;AL;40.59444;19.80667
356;AL;40.8575;19.75528
357;AL;41.24583;19.53472
358;AL;41.81917;19.64028
359;AL;42.16222;19.49667
360;AL;40.92056;19.84694
361;AL;40.72667;19.75722
362;AL;40.5475;19.84806
363;AL;40.45694;19.64361
364;AL;42.35734;20.07679
365;AT;48.0642;16.31573
366;AT;47.27725;13.31955
367;AT;46.98333;15.61667
368;AT;46.86667;16.03333
369;AT;46.80417;13.58056
370;AT;48.1099;16.46267
371;AT;48.61667;15.2
372;AT;48.46552;14.27133
373;AT;47.98314;17.00315
374;AT;47.5;10.48333
375;AT;47.5;16.11667
376;AT;48.53333;16.75
377;AT;47.28333;11.23333
378;AT;47.81442;16.40928
379;AT;47.85;16.33333
380;AT;48.51667;15.91667
381;AT;47.06667;14.36667
382;AT;46.95;15.41667
383;AT;46.93333;15.65
384;AT;47.18333;14.75
385;AT;48.68333;15.95
386;AT;47.23333;11.85
387;AT;47.23333;11.88333
388;AT;47.32556;12.79444
389;AT;48.06667;13.58333
390;AT;47.9;13.31667
391;AT;48.11667;14.8
392;AT;47.15;13.5
393;AT;47.15844;10.5897
394;AT;47.76471;16.51382
395;AT;47.93333;14.88333
396;AT;48.16667;15.08333
397;AT;48.25497;15.86031
398;AT;47.77648;16.05463
399;AT;46.92639;15.45111
400;AT;48.62792;16.10089
401;AT;47.79753;16.50447
402;AT;47.2;16.06667
403;AT;47.21667;16.1
404;AT;47.55;14.15
405;AT;47.48906;12.06174
406;AT;48.334;16.21016
407;AT;48.38333;16.51667
408;AT;47.46667;9.75
409;AT;48.13333;17
410;AT;48.1587;16.12098
411;AT;48.10669;13.67274
412;AT;46.84389;15.65889
413;AT;46.84056;14.84417
414;AT;48.06667;14.66667
415;AT;48.06667;15.05
416;AT;47.25;16.1
417;AT;47.2;14.23333
418;AT;46.87361;12.87472
419;AT;48.08333;14.83333
420;AT;48.76667;15.28333
421;AT;47.95;16.75
422;AT;47.91667;16.43333
423;AT;47.70295;16.03334
424;AT;47.78929;16.05686
425;AT;48.10571;15.60539
426;AT;48.58333;16.63333
427;AT;46.88333;15.51667
428;AT;47.31667;11.01667
429;AT;47.65;14.98333
430;AT;47.61667;16.28333
431;AT;47.40486;11.79708
432;AT;47.38333;16.13333
433;AT;47.73776;16.33798
434;AT;48.13333;15.13333
435;AT;46.72028;15.27194
436;AT;47.8;16.25
437;AT;48.08278;16.31384
438;AT;48.20849;16.37208
439;AT;47.85717;14.66409
440;AT;47.05293;15.39923
441;AT;46.83056;15.38722
442;AT;47.43208;12.21406
443;AT;46.71667;15.2
444;AT;46.92417;15.49083
445;AT;46.61667;13.93333
446;AT;47.46667;13.25
447;AT;47.46667;13.18333
448;AT;47.57954;16.42679
449;AT;47.16667;10.73333
450;AT;48.16667;14.03333
451;AT;47.21667;15.61667
452;AT;48.7;14.88333
453;AT;48.76667;15.8
454;AT;46.89611;15.46694
455;AT;48.28333;15.25
456;AT;48.05;14.58333
457;AT;47.15;14.73333
458;AT;47.56667;14.21667
